Time,volts,current,watts,amp_hour,watt_hour
1518678115.561995,3.399,0.0,0.0,0.0,0
1518678118.3202946,3.5,24.999,87.528,0.019154092063705126,0
1518678124.07836,3.511,24.999,87.812,0.05913905831019084,0
1518678129.8351793,3.518,24.999,87.989,0.0991153706395626,0
1518678135.5934877,3.524,24.999,88.095,0.13910202396114668,0
1518678141.3481195,3.528,24.999,88.202,0.17906314599215983,0
1518678147.1067457,3.533,24.999,88.308,0.21905200625300406,0
1518678152.863204,3.535,24.999,88.379,0.25902581197619434,0
1518678158.622213,3.538,24.999,88.45,0.2990173295044899,0
1518678164.3805647,3.541,24.999,88.521,0.3390042841486136,0
1518678170.1404839,3.542,24.999,88.557,0.37900212282776835,0
1518678175.8999014,3.544,24.999,88.627,0.4189964780859153,0
1518678181.6531494,3.547,24.999,88.663,0.45894799090802674,0
1518678187.4061115,3.548,24.999,88.698,0.4988975186437369,0
1518678193.1608243,3.55,24.999,88.734,0.538859203584989,0
1518678198.9202378,3.551,24.999,88.769,0.5788535306976239,0
1518678204.6794586,3.552,24.999,88.805,0.6188465200706323,0
1518678210.4389427,3.554,24.999,88.84,0.6588413372462988,0
1518678216.1970537,3.555,24.999,88.876,0.6988266197158893,0
1518678221.9559352,3.557,24.999,88.911,0.738817253143986,0
1518678227.7091734,3.558,24.999,88.947,0.7787686980857451,0
1518678233.465887,3.559,24.999,88.982,0.8187442769761879,0
1518678239.2243845,3.561,24.999,89.018,0.8587322432031232,0
1518678244.9833298,3.562,24.999,89.053,0.8987233186813194,0
1518678250.7431371,3.564,24.999,89.089,0.938720380875468,0
1518678256.5009835,3.565,24.999,89.124,0.9787038256086904,0
1518678262.2606485,3.567,24.999,89.16,1.0186998993986842,0
1518678268.0186558,3.568,24.999,89.195,1.0586844616742925,0
1518678273.7778382,3.569,24.999,89.23,1.0986771844927465,0
1518678279.537808,3.571,24.999,89.266,1.1386753741629914,0
1518678285.2991693,3.572,24.999,89.301,1.1786832276775434,0
1518678291.059404,3.574,24.999,89.337,1.2186832567397747,0
1518678296.8186436,3.575,24.999,89.372,1.2586763769066327,0
1518678302.5773242,3.576,24.999,89.408,1.2986656146484608,0
1518678308.3360846,3.578,24.999,89.443,1.338655407022436,0
1518678314.0962157,3.579,24.999,89.479,1.3786547175463035,0
1518678319.8557358,3.581,24.999,89.514,1.4186497847203408,0
1518678325.6146293,3.582,24.999,89.549,1.458640500929355,0
1518678331.3746736,3.584,24.999,89.585,1.4986392088081433,0
1518678337.1292915,3.585,24.999,89.62,1.5386002348132921,0
1518678342.8868277,3.586,24.999,89.656,1.5785815255870415,0
1518678348.6455076,3.588,24.999,89.691,1.6185707583620144,0
1518678354.4045866,3.589,24.999,89.727,1.6585627626421047,0
1518678360.162146,3.591,24.999,89.762,1.6985442156664523,0
