Time,volts,current,watts,amp_hour,watt_hour
1518593156.489368,3.787,30.001,113.613,0,0
1518593160.7411358,3.786,30.001,113.583,0,0
1518593164.997913,3.785,30.001,113.553,0,0
1518593169.253802,3.784,30.002,113.527,0,0
1518593173.5108292,3.783,30.001,113.493,0,0
1518593177.7665012,3.782,30.001,113.463,0,0
1518593182.0222764,3.78,30.001,113.403,0,0
1518593186.2742321,3.779,30.001,113.373,0,0
1518593190.5295634,3.778,30.001,113.343,0,0
1518593194.7866588,3.777,30.001,113.313,0,0
1518593199.0429933,3.776,30.001,113.283,0,0
1518593203.298875,3.775,30.001,113.253,0,0
1518593207.5553129,3.774,30.001,113.223,0,0
1518593211.8104029,3.773,30.001,113.193,0,0
1518593216.0667682,3.772,30.001,113.163,0,0
1518593220.3234,3.771,30.001,113.133,0,0
1518593224.5788543,3.769,30.001,113.073,0,0
1518593228.8351252,3.768,30.001,113.043,0,0
1518593233.0916355,3.767,30.001,113.013,0,0
1518593237.3483565,3.766,30.001,112.983,0,0
1518593241.6044168,3.765,30.001,112.953,0,0
1518593245.860664,3.764,30.001,112.923,0,0
1518593250.1159022,3.763,30.001,112.893,0,0
1518593254.3668225,3.762,30.001,112.863,0,0
1518593258.6240823,3.761,30.001,112.833,0,0
1518593262.8807263,3.76,30.002,112.807,0,0
1518593267.1376908,3.759,30.001,112.773,0,0
1518593271.3938093,3.757,30.001,112.713,0,0
1518593275.6509688,3.756,30.001,112.683,0,0
1518593279.9072356,3.755,30.001,112.653,0,0
1518593284.16025,3.754,30.001,112.623,0,0
1518593288.4173832,3.753,30.001,112.593,0,0
1518593292.6689708,3.752,30.001,112.563,0,0
1518593296.9244425,3.751,30.001,112.533,0,0
1518593301.181328,3.75,30.001,112.503,0,0
1518593305.4382129,3.749,30.002,112.477,0,0
1518593309.6913064,3.748,30.001,112.443,0,0
1518593313.9474041,3.747,30.001,112.413,0,0
1518593318.2034297,3.746,30.001,112.383,0,0
1518593322.4598317,3.744,30.002,112.327,0,0
1518593326.7169485,3.743,30.001,112.293,0,0
1518593330.9730768,3.742,30.001,112.263,0,0
1518593335.2267902,3.741,30.001,112.233,0,0
1518593339.4836767,3.74,30.001,112.203,0,0
1518593343.7400205,3.739,30.001,112.173,0,0
1518593347.99653,3.738,30.001,112.143,0,0
1518593352.2518198,3.737,30.001,112.113,0,0
1518593356.5059419,3.736,30.001,112.083,0,0
1518593360.7611692,3.735,30.001,112.053,0,0
1518593365.0180714,3.734,30.001,112.023,0,0
1518593369.2729452,3.732,30.002,111.967,0,0
1518593373.5285962,3.731,30.001,111.933,0,0
1518593377.7843163,3.73,30.001,111.903,0,0
1518593382.0399437,3.729,30.001,111.873,0,0
1518593386.2942176,3.728,30.001,111.843,0,0
1518593390.5454307,3.727,30.001,111.813,0,0
1518593394.797484,3.726,30.001,111.783,0,0
1518593399.0530908,3.725,30.001,111.753,0,0
1518593403.306213,3.724,30.001,111.723,0,0
1518593407.559568,3.722,30.001,111.663,0,0
1518593411.8148656,3.722,30.001,111.663,0,0
1518593416.0712035,3.721,30.001,111.633,0,0
1518593420.3238318,3.719,30.002,111.577,0,0
1518593424.5767584,3.718,30.001,111.543,0,0
1518593428.8337169,3.717,30.001,111.513,0,0
1518593433.0898907,3.716,30.002,111.487,0,0
1518593437.345906,3.715,30.001,111.453,0,0
1518593441.6011007,3.714,30.001,111.423,0,0
1518593445.8564277,3.713,30.001,111.393,0,0
1518593450.1077478,3.712,30.001,111.363,0,0
1518593454.3613505,3.71,30.001,111.303,0,0
1518593458.617577,3.709,30.001,111.273,0,0
1518593462.8742805,3.708,30.001,111.243,0,0
1518593467.1308978,3.707,30.001,111.213,0,0
1518593471.3870661,3.706,30.001,111.183,0,0
1518593475.6431284,3.705,30.001,111.153,0,0
1518593479.9000182,3.704,30.001,111.123,0,0
1518593484.156631,3.703,30.001,111.093,0,0
1518593488.4133673,3.702,30.001,111.063,0,0
1518593492.6689987,3.701,30.001,111.033,0,0
1518593496.9250655,3.7,30.001,111.003,0,0
1518593501.1800132,3.698,30.001,110.943,0,0
1518593505.4350212,3.697,30.001,110.913,0,0
1518593509.6912117,3.696,30.002,110.887,0,0
1518593513.9466517,3.695,30.001,110.853,0,0
1518593518.2034183,3.694,30.001,110.823,0,0
1518593522.4599328,3.693,30.001,110.793,0,0
1518593526.7151756,3.692,30.001,110.763,0,0
1518593530.967725,3.691,30.001,110.733,0,0
1518593535.223588,3.69,30.001,110.703,0,0
1518593539.4799602,3.688,30.001,110.643,0,0
1518593543.736359,3.687,30.001,110.613,0,0
1518593547.9886026,3.686,30.001,110.583,0,0
1518593552.2443645,3.685,30.001,110.553,0,0
1518593556.4955547,3.684,30.001,110.523,0,0
1518593560.7519238,3.683,30.001,110.493,0,0
1518593565.0046673,3.682,30.001,110.463,0,0
1518593569.2621348,3.681,30.001,110.433,0,0
1518593573.519053,3.679,30.001,110.373,0,0
1518593577.7752693,3.678,30.001,110.343,0,0
1518593582.0263095,3.677,30.001,110.313,0,0
1518593586.2780933,3.676,30.001,110.283,0,0
1518593590.533134,3.675,30.001,110.253,0,0
1518593594.7896419,3.674,30.001,110.223,0,0
1518593599.0455983,3.673,30.001,110.193,0,0
1518593603.30136,3.672,30.001,110.163,0,0
1518593607.5572002,3.671,30.001,110.133,0,0
1518593611.8134825,3.669,30.001,110.073,0,0
1518593616.070576,3.668,30.001,110.043,0,0
1518593620.3237429,3.667,30.001,110.013,0,0
1518593624.5801141,3.666,30.001,109.983,0,0
1518593628.8368828,3.665,30.001,109.953,0,0
1518593633.0929322,3.664,30.001,109.923,0,0
1518593637.3440635,3.663,30.001,109.893,0,0
1518593641.6012244,3.661,30.001,109.833,0,0
1518593645.8576288,3.661,30.001,109.833,0,0
1518593650.1145115,3.66,30.001,109.803,0,0
1518593654.3687248,3.658,30.001,109.743,0,0
1518593658.6227028,3.657,30.001,109.713,0,0
1518593662.878906,3.656,30.001,109.683,0,0
1518593667.1359282,3.655,30.001,109.653,0,0
1518593671.390724,3.654,30.001,109.623,0,0
1518593675.6468194,3.653,30.001,109.593,0,0
1518593679.9026656,3.652,30.001,109.563,0,0
1518593684.1544993,3.651,30.001,109.533,0,0
1518593688.4102135,3.649,30.001,109.473,0,0
1518593692.6630955,3.648,30.002,109.447,0,0
1518593696.9198492,3.647,30.001,109.413,0,0
1518593701.17355,3.646,30.001,109.383,0,0
1518593705.4297786,3.645,30.001,109.353,0,0
1518593709.6813068,3.644,30.001,109.323,0,0
1518593713.937263,3.643,30.001,109.293,0,0
1518593718.1933005,3.642,30.001,109.263,0,0
1518593722.4503646,3.641,30.001,109.233,0,0
1518593726.7059793,3.639,30.001,109.173,0,0
1518593730.9617434,3.639,30.001,109.173,0,0
1518593735.2182283,3.637,30.001,109.113,0,0
1518593739.474214,3.636,30.001,109.083,0,0
1518593743.7309508,3.635,30.001,109.053,0,0
1518593747.9868662,3.634,30.001,109.023,0,0
1518593752.2427156,3.633,30.001,108.993,0,0
